 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano/mês atendimento
Período:Jan-Jul/2020
"Unidade da Federação";"2008/Jan";"2008/Abr";"2008/Jun";"2008/Set";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Jun";"2009/Nov";"2010/Jan";"2010/Mai";"2010/Ago";"2010/Out";"2010/Nov";"2011/Mar";"2011/Dez";"2012/Jan";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Set";"2012/Out";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Set";"2013/Out";"2013/Nov";"2014/Fev";"2014/Abr";"2014/Dez";"2015/Fev";"2015/Mai";"2015/Set";"2015/Out";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Dez";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"Total"
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;19;90;329;1097;1732;1630;1652;1564;1464;1397;811;11789
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;20;68;224;713;2061;3170;2897;2893;2760;3057;2894;1685;22452
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;42;176;300;447;600;534;583;501;444;334;133;4101
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;18;57;111;295;593;536;532;397;437;566;361;3909
"52 Goiás";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7;24;39;73;193;581;1119;1014;982;925;954;1017;727;7658
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;12;126;233;408;535;478;539;452;576;748;561;4669
"Total";32;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;3;2;4;1;1;1;1;1;2;2;1;1;1;1;1;2;1;1;3;1;4;4;1;8;2;1;1;2;1;1;1;1;2;3;1;4;1;4;2;1;2;3;1;5;5;4;3;6;5;4;7;10;17;78;310;990;4429;9594;24858;43983;40272;42890;45246;51467;42370;24465;331155
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
